gene	log2FC	Stat
CTLA4	-1.27745057765014	0.00175600958000058
MTUS2	-2.1674151226917	0.001967505857569
HTRA3	0.763557073858147	0.0019695226807854
AC024940.2	-1.76249100690422	0.00197789953581364
IGKV2D-28	-1.7048871534132	0.00190013845365174
OBP2A	1.45182774297458	0.00211346803037542
PRG4	-1.81884877190301	0.00226645066420106
PNLIPRP3	1.07028390509341	0.00224542573857873
VIM-AS1	-0.69470872382573	0.00226279422844944
TNFRSF9	-1.25347316968264	0.00239106971715
ASGR1	0.972968782621134	0.00236920448107437
ROBO4	0.823447800249269	0.00246698432529344
FABP7	-1.39205559775513	0.00247878526280656
HCAR1	-1.54249160471747	0.00245603228002627
MSI1	2.9034034995368	0.00273374923657522
ADGRF5	0.667936608438344	0.00283811463716562
LRRC15	-0.829015247908348	0.00290724600381557
ATP13A4	0.777549648021929	0.00297579750118052
ELAVL4	-1.66623385592903	0.00308510769634397
KRT31	2.73362636366526	0.00316399405811248
SLC34A2	1.83479010169142	0.00321928922098058
CITED2	0.674007427055655	0.00325560488775727
ALCAM	-0.624037696899404	0.00356898568457924
AC020656.1	-1.5454845175571	0.00355040864247721
OLFM1	-0.769636013969514	0.0036578573088322
WARS1	-0.582292586978839	0.00366180003191113
SHC4	1.40313202728286	0.00367190827795934
SMN2	1.93523197143095	0.00369098594935516
ADAM12	-1.25697658265402	0.00372264679472995
CHL1	-0.89638279422213	0.00390370401755291
CD36	0.678802840688155	0.00394141523791548
VLDLR	0.860429822621013	0.00393684607029208
MUC7	2.18493960652711	0.00405560361883002
PGGHG	-0.672347927317397	0.00430364466884223
SHISA2	-1.47930947078313	0.00420558809461182
IGKV2-28	-2.28144007752967	0.00425251604791371
CCDC8	1.20083550426796	0.00447240073599868
PPP1R11	2.19326406130374	0.00451034269612994
CLNK	-0.871372445195996	0.00481996062256448
OLFML2B	0.764140718116357	0.00479347608249698
MSX2	-0.724288449396234	0.00495251047597241
MARCKSL1	-0.765921207059719	0.00502153998737822
KRT74	1.77963312902619	0.00515925534749912
TSPEAR	-0.824581258386862	0.00514013929951217
C1RL	1.3324663631123	0.00522032654928691
NR2F2	0.602804194869518	0.00524727568020961
DBNDD1	0.695393431680415	0.00559982323439461
CUTA	1.79746304005104	0.00565706065929743
CSMD2	-1.60490157100785	0.00566570149528806
IL36B	0.768515108039972	0.00561801261078235
FRAT1	0.60787612775288	0.00545328039151764
IGLV1-47	-2.43605317385565	0.00540024569881561
IGLV2-14	-0.982678599653536	0.00532231902999851
AC022762.2	-1.2078284725352	0.00557196690367945
GDA	2.38233922148043	0.00596567558498207
XCL1	-1.52393701899025	0.00603815767233758
PAX6	2.88541483801416	0.00626895630821839
PDZRN3	0.622530461135078	0.00651482617141506
BNC2	0.887314731023192	0.00636982320218998
RUFY1	1.51066731865161	0.0064420363104473
RTKN2	-1.10905366689772	0.00650900333580813
ALG1L	0.666760853471411	0.00629190334250228
IRF4	-0.842227946380705	0.00664316179110474
SIK1	1.07799545485125	0.0067674339199512
KF456478.1	-0.591577278598451	0.00680214659536885
SLC18A2	-0.902326502072893	0.00688485452554148
NDUFS1	0.847491386657692	0.0070453366255764
MGST1	1.05380717638692	0.00712490495077377
LMCD1	0.697097277158387	0.00760509814093546
TEK	0.642416717460409	0.00774685395862812
MEIS2	0.589097477264272	0.00762450946765465
TRIM36	-0.787994752013197	0.00732753688960894
GBP5	-1.01156419089952	0.00777505834888388
ISG20	-0.790618768847832	0.00734889506761856
B3GNT3	0.876720190786186	0.00723955619756935
FAM153B	-1.65115392221942	0.00778938005261609
EPGN	-1.73336847328924	0.0077401567409027
PROSER2-AS1	-1.10302228481012	0.00759054606318975
AL357033.4	0.784486218601151	0.00784464457116486
PMEPA1	-0.651488545654697	0.00830937306615969
AP003119.3	-0.867368644392002	0.0082669361886399
CCL1	-1.42995224867514	0.00840708324251493
EBF1	0.603993879822387	0.00843406206840193
AL035661.1	0.638474678314469	0.00865148947929285
C1R	1.14201016192917	0.00879730547377216
SAA2-SAA4	1.6174156782093	0.00884542042095919
CFAP69	0.593427588397204	0.00926945216671126
APOL3	-1.12471110185759	0.00923402970402148
RNF122	0.630466310606155	0.0093265032132856
ZNNT1	-0.914197406196725	0.00941116481599711
CXCR1	-0.966808060192765	0.00975541221370436
RGMA	0.698651020800944	0.00990434833832399
MCOLN2	-0.740917395956656	0.00997692937057791
DHRS1	1.39869684391893	0.0101375600535495
AL161785.1	1.17796698083065	0.0101102522088698
CCN2	1.01700899214065	0.0103214648550183
FBXL2	0.905498544450416	0.0103203817437291
LINC01554	0.885943198143476	0.01033821162816
KIAA1324	0.773413157828538	0.0107986618897302
MPZ	1.60748352346377	0.0108328590999648
PLB1	0.599778107225559	0.0106584066026401
RNF187	0.700928817848498	0.0107337556418758
NPTX1	-1.22865756940758	0.0105670649357062
CDRT1	-0.732106994442982	0.010830578696709
KRT82	3.20233202208503	0.010903006373973
BIRC3	-1.1033363481592	0.0110320567230036
NDRG4	0.722002838114459	0.0112300276414948
MYCT1	0.731611216440347	0.0111838548426148
GRIK4	-1.34645384371768	0.0111595196529057
TINF2	1.27359640718089	0.0113911279551209
SPINK1	1.93890337069976	0.0113808828991492
TBCE	3.0913534451136	0.0114464464202354
AC005515.1	-1.5807517637473	0.0117148773188299
AL137230.3	0.699598050451077	0.0119943731043726
SLC7A4	1.45398933576654	0.0121051766489658
CLDN5	0.820577324978221	0.012189378275022
BARX2	0.91734120791765	0.0123232622348041
JCHAIN	-0.869112613774767	0.0123200713705293
MIR17HG	-1.17538864261624	0.0123778276686147
EYA2	0.752162603492545	0.0124597725277644
PNOC	-2.23662834624845	0.012684506094207
MMP17	0.643041189893491	0.0127713614698119
ASIC3	-0.663925040359641	0.0126925096056738
DRGX	-1.29649818456655	0.0129936570269698
EPHA1	0.825068274464052	0.0133588222268856
HKDC1	-1.82449789178558	0.0133134812420662
SNX22	-0.684385754625013	0.0136222328889977
KLK13	0.69931571705925	0.0137335587181832
SLC7A2	-0.700947217459729	0.0140461005997967
MYBPC2	-1.4616310194611	0.0140327037760761
CYGB	0.667027633800467	0.0140432879881204
ABO	0.863103916137189	0.0140852917778545
PSG7	1.68894405874683	0.0139344517811921
PDK4	1.00022386847381	0.0189582284494766
ADIPOR2	0.952211049601234	0.036117145360567
CAMK1G	-1.98046411272289	0.0345870489578719
LTF	-2.38582804444019	0.0417665809897311
ALOX5	1.28124667909425	0.0367692852949203
SERPINB1	-0.71260316832332	0.0197898342187724
TG	0.660306967574443	0.0375462907200272
CP	-0.692774706552786	0.0474575454721713
ALX4	1.14080365630448	0.0400271599155844
FOXC1	0.704028638899245	0.0433280903992792
ITIH1	-1.17928332359874	0.0326069039522986
COL11A1	0.929036652592488	0.0357704254356455
KIF26A	0.710274604419473	0.0239363718046601
FRMPD1	0.849351882954674	0.0407382724766519
FSCN1	-0.591031882724038	0.0395311516388961
CST7	-0.779750359792624	0.0484556742427021
LAMP3	-0.607147327621767	0.0331833029837862
MOXD1	-0.63632384886572	0.0153286761350184
EPHA6	-1.39141392734105	0.0381962294357219
RFX2	0.675095916926075	0.0275278108918467
CPXM1	0.888295450324155	0.0190748765743781
TGM1	0.808097025067088	0.0331362993674969
GABRP	0.711561010394812	0.0472893392958967
RUBCNL	-0.817702322252268	0.0394427434417732
CCL22	-0.915800927264397	0.0345871262039138
WFDC1	0.834077475692914	0.027898790199427
CRISPLD2	-0.615164979694292	0.0314741076781769
EEF1D	1.15227967974117	0.0216138815968988
AMH	-1.11240428548913	0.0371617406043457
KCNN1	-1.23865878763522	0.0279325717650215
ASPN	-0.791856152039971	0.0188997218187105
ALDH3A1	0.876895298204213	0.0385482266639842
MAPK10	0.730920115892734	0.0457283173108386
HSPA8	-0.687725178470561	0.0197763573001715
HPX	-0.676448984291254	0.036245563453677
SLC6A12	-0.77257311325925	0.0190556149552422
CD83	-0.730023020916592	0.0228963899972235
HBEGF	-0.902371321435311	0.0449098504096088
IL12B	-1.34150652709339	0.0148044390212472
RBP1	0.906061678518046	0.0297478749751075
IGFBP2	0.93349049864178	0.016596369659883
GNLY	-1.09455114565965	0.0215288240699119
VAX2	0.941471477478644	0.0303449202492684
ATP6V1B1	0.963276856101574	0.0270162140098756
CHD5	-1.19907262048247	0.0289259807634843
IGSF21	-1.28610170090694	0.0420370781288555
TNFSF4	-1.30581909376922	0.0318564875884261
NR4A3	-0.896290210666498	0.0294316323768122
CD274	-0.999344845183224	0.0305653077263908
HSPH1	-0.659805532055646	0.0299131067392725
FLT3	-0.73735291992405	0.0226023999534893
OPN4	1.5928646394063	0.0385092124946387
SARDH	-1.09206078280812	0.0341429199415579
WFDC3	0.582308253114345	0.0467815456213792
ZBP1	-0.789999218921389	0.042473430215042
IRF1	-0.624723004918923	0.0499685097413484
CCR7	-0.926639069222129	0.0249326601496059
FOXP2	0.945499765794515	0.0180755639717624
CCDC136	-0.720790112825769	0.040921021502137
HOXD10	1.08828213128301	0.0410264939599681
WDFY4	-0.752973343351211	0.0356269590843226
GALNT8	-1.06038485937678	0.0440684236697781
USHBP1	0.703241037817238	0.0288429867427023
IDO1	-0.829670042062662	0.0370937973149254
NAPSB	-0.885914418710398	0.0164139858933054
SLX1A	0.706548188819693	0.0302150011246752
ATP1A4	-2.0328782408679	0.0493769803372201
PRAM1	0.599103428655482	0.0361213945793401
ADAMDEC1	-0.879204902778207	0.0274365260766381
VTCN1	1.15017133147706	0.0435220195569315
CMPK2	-0.844086198070854	0.038073336899864
IL2RA	-0.961049157492304	0.0245473566020249
APLNR	0.727379266205833	0.0162324038205741
TCN1	1.96017007170364	0.0252589342785139
ADGRB3	1.24391534839541	0.0274869584751064
KIF12	0.741630366835609	0.0181923256999413
LMX1B	0.584549033443775	0.0489919208808579
SLCO5A1	-1.21924979666014	0.0394410313875425
CXCL9	-1.02837492164764	0.0206291155676994
FBN2	1.36189803674739	0.0467305964114406
HAPLN3	-0.762750092893949	0.0225885442737027
IRF8	-0.696068226934666	0.0363441079604482
RNF157	-0.78866626538871	0.0219071292472988
CCN1	1.02177805861373	0.0406941631775754
DPT	-0.623034973082311	0.0288459657628673
LSP1P4	0.661217176171286	0.0392924881256911
KCNN3	-0.801252269798228	0.0292174718771487
MEIS1	0.594418869714825	0.0424205073116816
ZNF385B	-1.60962960996705	0.0207245270061472
CHRNA6	-1.19125208687991	0.0244031454034963
ADGRL3	0.919366342866863	0.0277433129387884
NOCT	-0.644026324191824	0.0371255067693184
PTPRO	-0.92691179617616	0.0499258533453426
CCDC74B	-0.74946430371916	0.0460156476803513
CABYR	1.33717468850266	0.0199049019776712
C16orf74	0.673432433099536	0.0454846804811952
SRSF12	-1.07996146369343	0.0246570377325163
PPP2R2B	-0.868473945275994	0.0202813073976768
ITGAD	-1.42379683705288	0.0237216666672991
ACAN	2.23129893688267	0.0156967244287296
ADAMTS4	-0.698885261434359	0.0297185102400664
CES5A	1.99278491348563	0.0377522077626195
TCHH	2.95141465736264	0.0145544854061211
SPON2	0.894306211322302	0.0273429921924896
TMPRSS3	-1.08025141366506	0.0376763294011484
GPATCH4	-0.612558201019897	0.0301614106657064
TREML1	-1.08342679780804	0.0291837259285148
ASRGL1	0.875448901935746	0.0273816127611409
FCMR	-0.967354638400613	0.0493848389133737
KBTBD8	-0.725642792454769	0.0387362583815991
AIM2	-0.907000508926854	0.0360429923553758
IL15	-0.756696819757845	0.0377340414863516
LEAP2	-0.725045626141946	0.0303183821722842
BMPER	1.54904104861242	0.0232934018900592
BAALC	0.816932138423513	0.0171790588873968
RASEF	0.840027690352208	0.0336988421645867
SHOC1	0.76797904405306	0.0165849881134682
RET	-0.805459658752327	0.0428324742270266
DDX21	-0.595624108337726	0.0331595978772189
SMCO2	-0.942773528264537	0.0174622599856809
AVPR1A	0.584761745049628	0.0421241766566953
C15orf48	-0.602331985203541	0.0387831053553833
SEMA6B	0.904433961926109	0.0167727789433528
HID1	0.596886399777239	0.0468718221673839
ABCA3	-0.76994115542219	0.0331547849619882
VWCE	1.10653617001222	0.0277591985403705
BATF2	-1.08945617752888	0.0275911074817604
CX3CR1	-0.653068330101526	0.0174477310010528
CMAHP	0.659548746494652	0.0323295824191742
ATF5	-0.660191388191405	0.0178655356606162
CHRNA5	-0.984988469714957	0.0147672376994158
FAM153A	-0.612879685926331	0.0432696016475324
FABP6	-1.18532464294435	0.0320312051367625
FOS	1.5500842020385	0.0451296257919019
SERPINB9	-0.75765430520896	0.031335734605971
LRG1	-0.701281664105142	0.037096682703975
CD8B	1.20635363540687	0.0353599299505407
LRRC20	0.590063642801083	0.0295433498940861
SNX32	-0.815322771460071	0.030800374478134
LRRN3	1.32959903443407	0.0179249249411823
PARP14	-0.709893130442672	0.0362434824995077
KCNA2	-0.68170327797306	0.0451211110570964
MLF1	-0.631411163315576	0.0368115927916534
ZC3H12D	-0.658781858747162	0.0402975613154938
MSC	-0.779585426503226	0.0347445974195203
RCC2	1.74639101566792	0.0395248968694214
APOBEC3B	-0.60405566295352	0.0371551718357076
GIPC3	0.796178488283609	0.0345691740582007
FAM71E2	-1.83520317985829	0.0303841241430865
ZNF707	1.29502768737601	0.0317153837708991
TLCD5	-0.659415484501283	0.0216955838539506
TIGIT	-0.860332781448623	0.0343434701386514
DCAF4L1	-0.885732315259394	0.0461141684599863
CACNB4	-0.678523025996015	0.0161947192300328
TSPAN10	0.660346535804974	0.0306622873721834
CCBE1	0.689650673802676	0.0308646776635072
SERHL2	0.782995783499286	0.0300040692404651
CCR4	-0.963333058104803	0.0438492870498592
MAATS1	-0.859418236398246	0.0298452955497481
EFNA5	0.881026774220018	0.016592404330909
LRRC26	0.750877283681227	0.0469392252416711
TNFAIP2	-0.727945891936364	0.0247677127738855
GALNT17	1.08569662677997	0.0293750862345962
MUC1	-0.644398213827312	0.0458363290128319
RASA3	1.39143744765027	0.0349168470319471
FFAR4	-0.596835248496313	0.0173982051565482
PDE2A	0.698955989572807	0.0163206915318565
TMPRSS6	-1.13467868274849	0.0229052138527791
ANGPTL5	-0.819011759436199	0.0396154688911625
ATP13A5	0.745203255119098	0.0391462072863913
AKR1C3	0.720889446851911	0.0172258158308747
SRGAP3	0.59677681894698	0.0276952920476759
ZNF124	-0.598584932313348	0.047142402223806
MME	1.08047872420691	0.039580012479187
LYPD2	0.602403767150057	0.0428926519653023
SULT1C2	1.19912686243111	0.0439688515134854
ITGBL1	-0.648677645004837	0.0320987138637863
F5	-0.841897177832874	0.0226183116851164
ALPK2	-1.44406885070035	0.0475459053723691
SAMD5	0.973937977407218	0.0150233490727784
CCDC162P	0.936911854257665	0.0155111769798508
LIPN	0.61952415347505	0.0396241338161196
BRD2	-0.871917686302004	0.021885210441718
VARS1	-1.07093058013819	0.049592368242886
FGF7P3	0.654938168888624	0.0290363868807942
SLFN12L	-1.16372741408032	0.0455393379026324
KRT6A	-1.16101494963111	0.0180632490192325
CALML3-AS1	0.59197267752985	0.0447140897141898
SMIM11A	-1.8506738588371	0.0183977338954591
NYNRIN	0.624307580682684	0.0289894655825295
HBA1	-2.16549732902841	0.027584781963447
COLQ	-0.917050496332271	0.0212476725772743
IGKC	-0.633793282754764	0.0456658680193161
IGLV3-19	-1.42606055997717	0.044110112336869
TRDV1	-1.33729107005779	0.0218854213455904
IGHG3	1.68584680291398	0.0342142363061937
SDHAP2	2.05083413843345	0.0240814020902666
AL109918.1	-0.911974835567054	0.0434929668905152
APOL6	-0.674095362034921	0.0499844170479437
AC005165.1	-1.40728172430486	0.031357364309954
IGKV3D-15	-1.38270692971681	0.0210784195011576
AJ009632.2	-1.14555960006359	0.0480253655651162
DNM3OS	-0.686620085565033	0.0216867532217983
FOXD3-AS1	1.37388086746928	0.0486848528808125
AC234582.1	-0.76895112474226	0.0359760991706457
LINC02777	-1.28902078056225	0.0439368065842633
PINLYP	0.720614608686405	0.0182594837979187
BNC2-AS1	4.08956785532599	0.0203065197604535
MIR155HG	-1.00565609143665	0.0286061714284739
APOC2	-0.712309221045817	0.0411010156594652
LINC01621	1.31779438445002	0.0369341855227086
MSC-AS1	-0.902246862148867	0.0165333192526498
FAM157A	0.928802059864227	0.0178886165414956
RNF223	0.582725607212516	0.0238529142300067
LINC00707	1.53273230083984	0.0452587306673314
STON1	0.644193419704657	0.0219774787873427
IGKV1-5	-1.71177753645643	0.0295304521550238
SPRR2F	0.623520410042843	0.0430440450198742
GPR162	0.63331501334351	0.0497618248561975
LINC01181	1.64210556991228	0.0169907284745942
AC093866.1	1.03295912074859	0.0273985003519891
DCANP1	-0.787457941291568	0.039341368828455
AC113410.3	1.14539699705334	0.0356929561427905
CCDC71L	-0.790438115779865	0.0347797985327806
LINC02099	-1.77996923486437	0.0192867300071425
AP000781.1	-0.916896050075554	0.0446663883419572
AC136475.3	-0.992535303366058	0.0231190239951165
TIFAB	-0.821771343279571	0.046118785874641
OVCH1-AS1	1.14766246885526	0.0271558552401193
AC010478.1	-1.35276803416122	0.0263415037218619
AL355607.2	0.766276885936271	0.0450181274829335
AC135050.3	-1.07267665043771	0.0191772738864002
ATP2C2-AS1	0.882386682849572	0.0282449139152899
AC096921.2	0.999049382332013	0.0463254191429781
AC007728.2	-0.884124441728645	0.0171864823081063
LINC00514	-0.845483712873661	0.0353688674216745
AC119396.1	-2.04577718774796	0.0285298843202798
TTC39C-AS1	-1.49739996640455	0.034861783261931
AC004687.1	-0.886148991077626	0.0270761526706062
AC015911.3	-1.20754692922377	0.0235823802640313
AC008105.3	-0.808742775900047	0.033747182888
MAP3K14-AS1	-0.630093665164916	0.0184317697996397
AP005264.5	-1.21407378336523	0.024524501015276
AC006262.3	-2.01705437399824	0.0434643611331092
AL390719.2	-0.676141470161947	0.0465911493593232
AC010655.3	0.901155655035425	0.0413226076406615
AC102953.2	-0.673055117100756	0.0243303337302715
TADA2A	0.832382211470524	0.0379700288740336
AL109976.1	0.658716703227578	0.0275735963146077
SSTR3	-1.51667671633895	0.0486895613734193
PRAL	-1.46121497876705	0.0214226017300859
AP001273.1	-1.00752443171694	0.0425540628391945
AC131212.3	-0.609028761522916	0.048042665682022
LINC01943	-1.0331843387055	0.0406296040034495
LINC02009	-1.66605836332498	0.0362308073040321
AC006460.2	0.773459839676059	0.0199372111280022
AL135926.1	-0.634992653767537	0.0315591981685708
AC125232.1	0.648114178276785	0.0489531847421977
AL162253.2	0.84869995113334	0.0405149809702751
AL109809.4	1.11094943554859	0.0349328783220378
AL121938.1	1.4960494369599	0.0220208776548891

